Date	Fight	Result	Carrier	Buy rate
Jun 27, 1988	Mike Tyson vs. Michael Spinks	Tyson wins by KO in round 1	HBO	700,000[15]
Oct 25, 1990	Buster Douglas vs. Evander Holyfield	Holyfield wins by KO in round 3	HBO	1,000,000[15]
Apr 19, 1991	Evander Holyfield vs. George Foreman	Holyfield wins by UD (116–111, 117–110, 115–112)	HBO	1,400,000[16]
Oct 18, 1991	Ray Mercer vs. Tommy Morrison	Mercer wins by KO in round 5	HBO	200,000[17]
Jun 19, 1992	Evander Holyfield vs. Larry Holmes	Holyfield wins by UD (117–111, 116–112, 116–112)	HBO	730,000[18]
Nov 13, 1992	Evander Holyfield vs. Riddick Bowe	Bowe wins by UD (117–110, 117–110, 115–112)	HBO	900,000[19]
Jun 7, 1993	George Foreman vs. Tommy Morrison	Morrison wins by UD (117–110, 117–110, 118–108)	HBO	600,000[20]
Nov 6, 1993	Riddick Bowe vs. Evander Holyfield II	Holyfield wins by MD (115–113, 115–114, 114–114)	HBO	950,000[21]
Nov 18, 1994	James Toney vs. Roy Jones Jr.	Jones Jr. wins by UD (119–108, 118–109, 117–110)	HBO	300,000[22]
May 6, 1995	Oscar De La Hoya vs. Rafael Ruelas	De La Hoya wins by TKO in round 2	HBO	330,000[23]
Aug 19, 1995	Mike Tyson vs. Peter McNeeley	Tyson wins by DQ in round 1	Showtime	1,550,000[16]
Nov 4, 1995	Riddick Bowe vs. Evander Holyfield III	Bowe wins by TKO in round 8	HBO	650,000[24]
mar 16, 1996	Frank Bruno vs. Mike Tyson II	Tyson wins by TKO in round 3	Showtime	1,370,000[16]
Sep 7, 1996	Bruce Seldon vs. Mike Tyson	Tyson wins by TKO in round 1	Showtime	1,150,000[16]
Nov 9, 1996	Mike Tyson vs. Evander Holyfield	Holyfield wins by TKO in round 11	Showtime	1,590,000[16]
Apr 12, 1997	Pernell Whitaker vs. Oscar De La Hoya	De La Hoya wins by UD (115–111, 116–110, 116–110)	HBO	720,000[25]
Jun 28, 1997	Evander Holyfield vs. Mike Tyson II	Holyfield wins by DQ in round 3	Showtime	1,990,000[16]
Sep 13, 1997	Oscar De La Hoya vs. Hector Camacho	De La Hoya wins by UD (120–106, 120–105, 118–108)	HBO	560,000[25]
Oct 4, 1997	Lennox Lewis vs. Andrew Golota	Lewis wins by KO in round 1	HBO	300,000[26]
Nov 8, 1997	Evander Holyfield vs. Michael Moorer II	Holyfield wins by RTD in round 8	Showtime	550,000[27]
Jan 16, 1999	Mike Tyson vs. Francois Botha	Tyson wins by KO in round 5	Showtime	750,000[28]
mar 13, 1999	Evander Holyfield vs. Lennox Lewis	Draw (116–113, 113–115, 115–115)	HBO	1,200,000[29]
Sep 18, 1999	Oscar De La Hoya vs. Felix Trinidad	Trinidad wins by MD (115–113, 115–114, 114–114)	HBO	1,400,000[16]
Nov 13, 1999	Evander Holyfield vs. Lennox Lewis II	Lewis wins by UD (116–112, 117–111, 115–113)	HBO	850,000[29]
Apr 29, 2000	Lennox Lewis vs. Michael Grant	Lewis wins by KO in round 2	HBO	340,000[29]
Jun 17, 2000	Oscar De La Hoya vs. Shane Mosley	Mosley wins by SD (116–112, 115–113, 113–115)	HBO	590,000[25]
Sep 9, 2000	Roy Jones Jr. vs. Eric Harding	Jones Jr. wins by RTD in round 10	HBO	125,000[30]
Oct 20, 2000	Mike Tyson vs. Andrew Golota	Tyson wins by TKO in round 3 (later changed to an NC)	Showtime	450,000[31]
Nov 11, 2000	Lennox Lewis vs. David Tua	Lewis wins by UD (119–109, 118–110, 117–111)	HBO	420,000[29]
mar 3, 2001	Evander Holyfield vs. John Ruiz	Ruiz wins by UD (116–110, 115–111, 114–111)	Showtime	185,000[32]
Apr 7, 2001	Marco Antonio Barrera vs. Naseem Hamed	Barrera wins by UD (116–111, 115–112, 115–112)	HBO	310,000[33]
Nov 17, 2001	Hasim Rahman vs. Lennox Lewis II	Lewis wins by KO in round 4	HBO	460,000[34]
Jun 8, 2002	Lennox Lewis vs. Mike Tyson	Lewis wins by KO in round 8	HBO/Showtime	1,970,000[16]
Sep 14, 2002	Oscar De La Hoya vs. Fernando Vargas	De La Hoya wins by TKO in round 11	HBO	935,000[25]
Feb 22, 2003	Mike Tyson vs. Clifford Etienne	Tyson wins by KO in round 1	Showtime	100,000[32]
mar 1, 2003	John Ruiz vs. Roy Jones Jr.	Jones Jr. wins by UD (118–110, 117–111, 116–112)	HBO	525,000[32]
Sep 13, 2003	Oscar De La Hoya vs. Shane Mosley II	Mosley wins by UD (113–115, 113–115, 113–115)	HBO	950,000[25]
Oct 4, 2003	James Toney vs. Evander Holyfield	Toney wins by TKO in round 9	Showtime	150,000[35]
Nov 8, 2003	Antonio Tarver vs. Roy Jones Jr.	Jones Jr. wins by MD (117–111, 116–112, 114–114)	HBO	302,000[36]
May 15, 2004	Roy Jones Jr. vs. Antonio Tarver II	Tarver wins by KO in round 2	HBO	360,000[37]
Sep 18, 2004	Bernard Hopkins vs. Oscar De La Hoya	Hopkins wins by KO in round 9	HBO	1,000,000[25]
Dec 11, 2004	Vitali Klitschko vs. Danny Williams	Klitschko wins by TKO in round 8	HBO	120,000[38]
mar 19, 2005	Erik Morales vs. Manny Pacquiao	Morales wins by UD (115–113, 115–113, 115–113)	HBO	345,000[39]
Jun 11, 2005	Mike Tyson vs. Kevin McBride	McBride wins by TKO in round 7	Showtime	250,000[40]
Jun 25, 2005	Arturo Gatti vs. Floyd Mayweather Jr.	Mayweather Jr. wins by RTD in round 6	HBO	340,000[39]
Oct 1, 2005	Antonio Tarver vs. Roy Jones Jr. III	Tarver wins by UD (117–111, 116–112, 116–112)	HBO	405,000[41]
Jan 21, 2006	Manny Pacquiao vs Erik Morales II	Pacquiao wins by TKO in round 10	HBO	360,000[42]
Apr 8, 2006	Floyd Mayweather Jr. vs. Zab Judah	Mayweather Jr. wins by UD (116–112, 117–111, 119–109)	HBO	375,000[42]
May 6, 2006	Ricardo Mayorga vs. Oscar De La Hoya	De La Hoya wins by TKO in round 6	HBO	925,000[43]
May 6, 2006	Manny Pacquiao vs. Oscar Larios	Pacquiao wins by UD (117–110, 118–108, 120–106)	Top Rank	120,000[44]
Nov 4, 2006	Floyd Mayweather Jr. vs. Carlos Baldomir	Mayweather, Jr. wins by UD (120–108, 120–108, 118–110)	HBO	325,000[42]
Nov 18, 2006	Manny Pacquiao vs Erik Morales III	Pacquiao wins by KO in round 3	HBO	350,000[42]
Nov 18, 2006	Manny Pacquiao vs Jorge Solis	Pacquiao wins by KO in round 8	Top Rank	150,000[45]
May 5, 2007	Oscar De La Hoya vs. Floyd Mayweather Jr.	Mayweather Jr. wins by SD (116–112, 115–113, 113–115)	HBO	2,400,000[16]
Oct 10, 2007	Manny Pacquiao vs. Marco Antonio Barrera II	Pacquiao wins by UD (118–109, 118–109, 115–112)	HBO	350,000[46]
Dec 8, 2007	Floyd Mayweather Jr. vs. Ricky Hatton	Mayweather, Jr. wins by TKO in round 10	HBO	920,000[47]
mar 15, 2008	Manny Pacquiao vs. Juan Manuel Marquez II	Pacquiao wins by SD (115–112, 114–113, 112–115)	HBO	400,000[48]
Jun 28, 2008	David Diaz vs. Manny Pacquiao	Pacquiao wins by TKO in round 9	HBO	206,000[49]
Nov 8, 2008	Joe Calzaghe vs. Roy Jones Jr.	Calzaghe wins by UD (118–109, 118–109, 118–109)	HBO	225,000[50]
Dec 6, 2008	Oscar De La Hoya vs. Manny Pacquiao	Pacquiao wins by RTD in round 8	HBO	1,250,000[16]
May 2, 2009	Manny Pacquiao vs. Ricky Hatton	Pacquiao wins by KO in round 2	HBO	850,000[51]
Sep 19, 2009	Floyd Mayweather Jr. vs. Juan Manuel Marquez	Mayweather Jr. wins by UD (120–107, 119–108, 118–109)	HBO	1,060,000[47]
Nov 14, 2009	Manny Pacquiao vs. Miguel Cotto	Pacquiao wins by TKO in round 12	HBO	1,250,000[52]
mar 13, 2010	Manny Pacquiao vs. Joshua Clottey	Pacquiao wins by UD (119–109, 119–109, 120–108)	HBO	700,000[53]
May 1, 2010	Floyd Mayweather Jr. vs. Shane Mosley	Mayweather Jr. wins by UD (119–109, 118–110, 119–109)	HBO	1,400,000[16]
Nov 13, 2010	Manny Pacquiao vs. Antonio Margarito	Pacquiao wins by UD (120–108, 118–110, 119–109)	HBO	1,150,000[54]
May 7, 2011	Manny Pacquiao vs. Shane Mosley	Pacquiao wins by UD (119–108, 120–108, 120–107)	Showtime	1,340,000[55]
Sep 17, 2011	Victor Ortiz vs. Floyd Mayweather Jr.	Mayweather Jr. wins by KO in round 4	HBO	1,250,000[56]
Nov 13, 2011	Manny Pacquiao vs. Juan Manuel Marquez III	Pacquiao wins by MD (115–113, 114–114, 116–112)	HBO	1,400,000[57]
Dec 3, 2011	Miguel Cotto vs. Antonio Margarito II	Cotto wins by RTD in round 9	HBO	600,000[58]
May 5, 2012	Floyd Mayweather Jr. vs. Miguel Cotto	Mayweather Jr. wins by UD (117–111, 117–111, 118–110)	HBO	1,500,000[59]
Jun 9, 2012	Manny Pacquiao vs. Timothy Bradley	Bradley wins by SD (115–113, 115–113, 115–113)	HBO	890,000[60]
Sep 15, 2012	Sergio Martinez vs. Julio Cesar Chavez Jr.	Martinez wins by UD (118–109, 118–109, 117–110)	HBO	475,000[61]
Dec 8, 2012	Manny Pacquiao vs. Juan Manuel Marquez IV	Marquez wins by KO in round 6	HBO	1,150,000[62]
May 4, 2013	Floyd Mayweather Jr. vs. Robert Guerrero	Mayweather Jr. wins by UD (117–111, 117–111, 117–111)	Showtime	1,000,000[63]
Sep 14, 2013	Floyd Mayweather Jr. vs. Canelo Alvarez	Mayweather, Jr. wins by MD (117–111, 116–112, 114–114)	Showtime	2,200,000[64]
Oct 12, 2013	Timothy Bradley vs. Juan Manuel Marquez	Bradley wins by SD (115–113, 116–112, 113–115)	HBO	375,000[65]
Nov 24, 2013	Manny Pacquiao vs. Brandon Rios	Pacquiao wins by UD (119–109, 120–108, 118–110)	HBO	475,000[66]
mar 8, 2014	Canelo Alvarez vs. Alfredo Angulo	Alvarez wins by TKO in Round 10	Showtime	350,000[67]
Apr 12, 2014	Manny Pacquiao vs. Timothy Bradley II	Pacquiao wins by UD (116–112, 116–112, 118–110)	HBO	800,000[68]
May 3, 2014	Floyd Mayweather Jr. vs. Marcos Maidana	Mayweather Jr. wins by MD (114–114, 117–111, 116–112)	Showtime	900,000[69]
Jun 7, 2014	Miguel Cotto vs. Sergio Martinez	Cotto wins by RTD in round 10	HBO	315,000[70]
Jul 12, 2014	Canelo Alvarez vs. Erislandy Lara	Alvarez wins by SD (115–113, 117–111, 113–115)	Showtime	300,000[71]
Sep 13, 2014	Floyd Mayweather Jr. vs. Marcos Maidana II	Mayweather Jr. wins by UD (116–111, 116–111, 115–112)	Showtime	925,000[69]
Nov 23, 2014	Manny Pacquiao vs. Chris Algieri	Pacquiao wins by UD (119–103, 119–103, 120–102)	HBO	400,000[72]
May 2, 2015	Floyd Mayweather Jr. vs. Manny Pacquiao	Mayweather Jr. wins by UD (116–112, 116–112, 118–110)	HBO/Showtime	4,000,000[73]
Sep 12, 2015	Floyd Mayweather Jr. vs. Andre Berto	Mayweather Jr. wins by UD (120–108, 118–110, 117–111)	Showtime	400,000[74]
Oct 17, 2015	Gennady Golovkin vs. David Lemieux	Golovkin wins via TKO in round 8	HBO	150,000[75]
Nov 21, 2015	Miguel Cotto vs. Canelo Alvarez	Alvarez wins by UD (117–111, 119–109, 118–110)	HBO	900,000[76]
Apr 9, 2016	Manny Pacquiao vs. Timothy Bradley III	Pacquiao wins by UD (116–110, 116–110, 116–110)	HBO	400,000[77]
May 7, 2016	Canelo Alvarez vs. Amir Khan	Alvarez wins by KO in round 6	HBO	600,000[78]
July 23, 2016	Terence Crawford vs. Viktor Postol	Crawford wins by UD (118–107, 118–107, 117–108)	HBO	55,000[79]
Sep 17, 2016	Canelo Alvarez vs. Liam Smith	Alvarez wins by TKO in round 9	HBO	300,000[80]
Nov 5, 2016	Manny Pacquiao vs. Jessie Vargas	Pacquiao wins by UD (118–109, 118–109, 114–113)	Top Rank	300,000[81]
Nov 19, 2016	Sergey Kovalev vs. Andre Ward	Ward wins by UD (114–113, 114–113, 114–113)	HBO	160,000[82]
mar 18, 2017	Gennady Golovkin vs. Daniel Jacobs	Golovkin wins by UD (115–112, 115–112, 114–113)	HBO	170,000[83]